employee_id,name,designation,department,seniority_level,experience_years,qualification,join_date,state
EMP00001,Dev Joshi,Junior Statistical Officer (JSO),Price Statistics Division (PSD),1,4.0,M.Sc. Data Science,2022-12-04,Bihar
EMP00002,Vedhika Mital,Director General,Data Informatics & Innovation Division (DIID),9,23.0,B.Sc. Statistics,2003-02-07,West Bengal
EMP00003,Yashvi Chaudhary,Junior Statistical Officer (JSO),State DES - Bihar,1,3.2,MBA,2023-08-19,Gujarat
EMP00004,Parth Lata,Junior Statistical Officer (JSO),National Accounts Division (NAD),1,4.0,MBA,2022-05-05,Haryana
EMP00005,Viraj Bali,Joint Director,Data Informatics & Innovation Division (DIID),6,13.2,M.Sc. Statistics,2013-06-20,Telangana
EMP00006,Gaurika Lata,Junior Statistical Officer (JSO),State DES - Maharashtra,1,3.9,M.Sc. Statistics,2023-02-18,Andhra Pradesh
EMP00007,Ranveer Seshadri,Joint Director,State DES - Bihar,6,18.9,M.Sc. Statistics,2008-11-08,Maharashtra
EMP00008,Timothy Chhabra,Statistical Officer (SO),National Sample Survey Office (NSSO),2,8.0,MBA,2018-08-21,Kerala
EMP00009,Hiral Kant,Senior Statistical Officer (SSO),Price Statistics Division (PSD),3,7.7,M.Tech Computer Science,2019-10-21,Karnataka
EMP00010,Joshua Rao,Assistant Director,Data Informatics & Innovation Division (DIID),4,7.6,M.Tech Computer Science,2019-04-22,Chhattisgarh
EMP00011,Eshana Seshadri,Junior Statistical Officer (JSO),Central Statistics Office (CSO),1,1.9,M.A. Economics,2025-05-03,Andhra Pradesh
EMP00012,Viraj Bhasin,Joint Director,State DES - Uttar Pradesh,6,14.6,MBA,2012-03-09,Odisha
EMP00013,Maanas Singh,Director General,State DES - Bihar,9,28.5,MBA,1998-07-12,Uttarakhand
EMP00014,Yashvi Bhatt,Director General,Central Statistics Office (CSO),9,27.9,M.Sc. Statistics,1999-11-06,Bihar
EMP00015,Yatin Mukhopadhyay,Director,Data Informatics & Innovation Division (DIID),7,22.2,MBA,2004-08-17,Himachal Pradesh
EMP00016,Gaurika Taneja,Junior Statistical Officer (JSO),National Sample Survey Office (NSSO),1,3.7,M.Tech Computer Science,2023-02-10,Haryana
EMP00017,Vyanjana Luthra,Additional Director General,State DES - Bihar,8,18.0,M.Tech Computer Science,2008-03-17,Jharkhand
EMP00018,Aarush Goswami,Deputy Director,State DES - Maharashtra,5,17.4,M.Sc. Data Science,2009-06-25,Bihar
EMP00019,Joshua Rao,Director General,State DES - Karnataka,9,33.0,M.A. Economics,1993-01-04,Assam
EMP00020,Libni Kant,Deputy Director,Price Statistics Division (PSD),5,11.4,M.Sc. Statistics,2015-12-16,Karnataka
EMP00021,Jagvi Bains,Director General,National Accounts Division (NAD),9,31.2,PhD Statistics,1995-03-09,Chhattisgarh
EMP00022,Gunbir Tiwari,Director,State DES - Maharashtra,7,26.6,M.Sc. Data Science,2000-07-22,Punjab
EMP00023,Jeet Kant,Additional Director General,State DES - Uttar Pradesh,8,28.8,M.Sc. Statistics,1998-04-03,Gujarat
EMP00024,Hitesh Narayanan,Director General,Price Statistics Division (PSD),9,24.8,B.Sc. Statistics,2002-12-21,Karnataka
EMP00025,Charan Chacko,Statistical Officer (SO),Social Statistics Division (SSD),2,8.3,M.Sc. Statistics,2018-04-09,Jharkhand
EMP00026,Varsha Dani,Assistant Director,State DES - Bihar,4,11.4,PhD Statistics,2015-08-26,Gujarat
EMP00027,Yash Mody,Statistical Officer (SO),Data Informatics & Innovation Division (DIID),2,2.7,M.A. Economics,2024-07-15,Madhya Pradesh
EMP00028,Imaran Sandhu,Junior Statistical Officer (JSO),State DES - Tamil Nadu,1,3.7,M.Sc. Statistics,2023-07-24,Maharashtra
EMP00029,Hitesh Lata,Statistical Officer (SO),Price Statistics Division (PSD),2,3.7,PhD Statistics,2023-07-06,Bihar
EMP00030,Parth Sem,Assistant Director,National Sample Survey Office (NSSO),4,14.7,PhD Statistics,2012-02-02,Chhattisgarh
EMP00031,Jeet Rao,Junior Statistical Officer (JSO),Price Statistics Division (PSD),1,4.9,M.Sc. Mathematics,2022-08-16,Madhya Pradesh
EMP00032,Viraj Tiwari,Director,National Accounts Division (NAD),7,25.8,MBA,2001-07-09,West Bengal
EMP00033,Libni Gill,Additional Director General,State DES - Bihar,8,21.4,PhD Statistics,2005-04-10,Bihar
EMP00034,Viraj Ahluwalia,Director General,Social Statistics Division (SSD),9,22.7,B.Sc. Statistics,2004-10-16,Maharashtra
EMP00035,Manan Tripathi,Director General,State DES - Maharashtra,9,23.9,M.Sc. Statistics,2003-02-20,Uttar Pradesh
EMP00036,Anjali Mukhopadhyay,Assistant Director,State DES - Karnataka,4,10.0,M.Sc. Data Science,2016-10-02,Uttarakhand
EMP00037,Bahadurjit Samra,Director,State DES - Karnataka,7,22.9,M.A. Economics,2004-04-22,Kerala
EMP00038,Leela Bhatti,Assistant Director,National Accounts Division (NAD),4,8.7,M.Tech Computer Science,2018-06-25,Odisha
EMP00039,Libni Bains,Junior Statistical Officer (JSO),State DES - Karnataka,1,2.8,M.Sc. Statistics,2024-09-07,Karnataka
EMP00040,Manan Borra,Senior Statistical Officer (SSO),National Sample Survey Office (NSSO),3,13.3,M.Sc. Data Science,2013-05-06,Telangana
EMP00041,Aahana Seshadri,Director General,State DES - Karnataka,9,30.4,B.Sc. Statistics,1996-05-22,Chhattisgarh
EMP00042,Anya Basak,Senior Statistical Officer (SSO),National Sample Survey Office (NSSO),3,6.6,M.Sc. Mathematics,2020-05-20,Kerala
EMP00043,Viraj Talwar,Joint Director,State DES - Tamil Nadu,6,14.4,M.Tech Computer Science,2012-08-09,Jharkhand
EMP00044,Ekaja Tripathi,Junior Statistical Officer (JSO),Data Informatics & Innovation Division (DIID),1,1.4,M.Tech Computer Science,2025-01-11,Maharashtra
EMP00045,Timothy Bhatt,Deputy Director,State DES - Uttar Pradesh,5,10.6,MBA,2016-01-04,Chhattisgarh
EMP00046,Anjali Basak,Senior Statistical Officer (SSO),Social Statistics Division (SSD),3,9.5,M.Sc. Mathematics,2017-03-02,Madhya Pradesh
EMP00047,Anvi Kant,Junior Statistical Officer (JSO),Price Statistics Division (PSD),1,4.6,M.Sc. Data Science,2022-06-25,Tamil Nadu
EMP00048,Harini Basak,Director,State DES - Bihar,7,26.7,M.Sc. Mathematics,2000-03-26,Gujarat
EMP00049,Dayamai Shroff,Director,State DES - Bihar,7,15.3,M.A. Economics,2011-11-28,Madhya Pradesh
EMP00050,Utkarsh Lata,Assistant Director,State DES - Bihar,4,8.7,M.Sc. Statistics,2018-01-28,Andhra Pradesh
EMP00051,Rudra Chacko,Assistant Director,State DES - Uttar Pradesh,4,14.2,M.A. Economics,2012-04-08,Punjab
EMP00052,Amaira Chaudhuri,Assistant Director,Economic Census Division (ECD),4,10.0,M.Sc. Statistics,2016-06-21,Kerala
EMP00053,Manan Dara,Director General,Central Statistics Office (CSO),9,26.0,M.Sc. Statistics,2000-03-19,Kerala
EMP00054,Gaurika Nazareth,Statistical Officer (SO),Social Statistics Division (SSD),2,6.2,M.A. Economics,2020-10-17,Madhya Pradesh
EMP00055,Eta Kaur,Assistant Director,State DES - Bihar,4,8.5,MBA,2018-09-26,West Bengal
EMP00056,Rushil Mukhopadhyay,Assistant Director,National Sample Survey Office (NSSO),4,9.6,M.A. Economics,2017-06-22,Himachal Pradesh
EMP00057,Tejas Joshi,Deputy Director,State DES - Tamil Nadu,5,14.1,MBA,2012-07-23,Haryana
EMP00058,Ranveer Taneja,Senior Statistical Officer (SSO),State DES - Tamil Nadu,3,5.9,MBA,2021-10-19,Uttar Pradesh
EMP00059,Anvi Dara,Director General,Economic Census Division (ECD),9,32.0,M.Tech Computer Science,1994-07-26,Rajasthan
EMP00060,Vinaya Dubey,Joint Director,State DES - Uttar Pradesh,6,17.6,M.Sc. Data Science,2009-08-26,Jharkhand
EMP00061,Ekaja Gill,Senior Statistical Officer (SSO),Economic Census Division (ECD),3,10.6,M.A. Economics,2016-04-22,Karnataka
EMP00062,Anvi Chacko,Assistant Director,Central Statistics Office (CSO),4,7.5,M.Sc. Data Science,2019-10-28,Assam
EMP00063,Timothy Bains,Additional Director General,State DES - Tamil Nadu,8,23.0,M.Sc. Data Science,2003-08-13,Andhra Pradesh
EMP00064,Zaitra Balasubramanian,Junior Statistical Officer (JSO),National Sample Survey Office (NSSO),1,4.6,MBA,2022-03-26,Gujarat
EMP00065,Mohammed Gola,Additional Director General,Price Statistics Division (PSD),8,18.6,M.Sc. Statistics,2008-03-26,Odisha
EMP00066,Mitali Chaudhuri,Director General,State DES - Karnataka,9,33.9,M.A. Economics,1993-10-27,Odisha
EMP00067,Lakshit Kapoor,Director General,State DES - Maharashtra,9,27.1,PhD Statistics,1999-12-28,Uttar Pradesh
EMP00068,Rudra Prabhu,Deputy Director,State DES - Tamil Nadu,5,16.5,M.Tech Computer Science,2010-08-21,Jharkhand
EMP00069,Zaitra Krishnan,Additional Director General,Economic Census Division (ECD),8,18.9,M.Sc. Data Science,2008-06-11,Kerala
EMP00070,Ekaja Rao,Statistical Officer (SO),Price Statistics Division (PSD),2,3.0,MBA,2023-12-07,Bihar
EMP00071,Anjali Shukla,Director,State DES - Uttar Pradesh,7,19.0,MBA,2007-04-27,Maharashtra
EMP00072,Yash Kaur,Junior Statistical Officer (JSO),State DES - Karnataka,1,4.4,MBA,2022-01-12,Assam
EMP00073,Anvi Bali,Director,Data Informatics & Innovation Division (DIID),7,25.2,M.Sc. Data Science,2001-04-09,Assam
EMP00074,Vyanjana Dani,Junior Statistical Officer (JSO),State DES - Tamil Nadu,1,2.6,MBA,2024-08-05,Uttar Pradesh
EMP00075,Bahadurjit Rao,Junior Statistical Officer (JSO),State DES - Karnataka,1,4.6,B.Sc. Statistics,2022-11-14,Karnataka
EMP00076,Maanas Tiwari,Additional Director General,Economic Census Division (ECD),8,20.2,MBA,2006-04-15,Haryana
EMP00077,Eshana Gupta,Director,Data Informatics & Innovation Division (DIID),7,18.3,M.Tech Computer Science,2008-08-01,Karnataka
EMP00078,Utkarsh Rao,Junior Statistical Officer (JSO),Social Statistics Division (SSD),1,5.0,M.Sc. Data Science,2021-11-02,Karnataka
EMP00079,Bhavini Narayanan,Assistant Director,Central Statistics Office (CSO),4,8.0,M.Sc. Mathematics,2018-03-16,Gujarat
EMP00080,Varsha Joshi,Assistant Director,Economic Census Division (ECD),4,10.7,M.A. Economics,2016-10-20,Uttar Pradesh
EMP00081,Utkarsh Talwar,Statistical Officer (SO),National Accounts Division (NAD),2,7.4,M.Tech Computer Science,2019-10-01,Tamil Nadu
EMP00082,Libni Agrawal,Director,State DES - Bihar,7,19.8,M.Sc. Data Science,2007-10-23,Karnataka
EMP00083,Hiral Tella,Assistant Director,Economic Census Division (ECD),4,7.0,M.Sc. Statistics,2019-01-12,Uttarakhand
EMP00084,Rushil De,Joint Director,State DES - Tamil Nadu,6,12.8,M.A. Economics,2014-07-27,West Bengal
EMP00085,Falak Goswami,Director,State DES - Tamil Nadu,7,26.5,PhD Statistics,2000-07-06,Bihar
EMP00086,Lakshit Gola,Deputy Director,State DES - Maharashtra,5,15.2,PhD Statistics,2011-07-27,Odisha
EMP00087,Lakshit Dhar,Deputy Director,Price Statistics Division (PSD),5,12.2,M.Sc. Statistics,2014-08-08,Kerala
EMP00088,Bhavini Sem,Director,State DES - Uttar Pradesh,7,19.0,M.A. Economics,2007-08-07,Uttar Pradesh
EMP00089,Neelima Lata,Deputy Director,State DES - Karnataka,5,12.4,M.Tech Computer Science,2014-01-17,Chhattisgarh
